"spkid","full_name","name","diameter","e","a","q","i","om","w","ma","albedo","n","epoch"
3740811,"       (2016 BJ1)",,0.432,0.5433,2.26,1.032,21.42,103.18,99.27,176.17,0.025,0.2901,2460600.5
3740812,"       (2016 BK1)",,,0.5874,2.375,0.980,0.94,17.02,79.80,145.83,,0.2692,2460600.5
3740823,"       (2016 BL1)",,,0.2976,1.761,1.237,7.29,123.46,344.57,274.93,,0.4219,2460600.5
3740824,"       (2016 BM1)",,,0.4711,2.022,1.069,6.61,80.23,27.39,26.45,,0.3428,2460600.5
3740825,"       (2016 BN1)",,,0.2397,1.404,1.067,23.63,267.70,293.16,36.78,,0.5927,2460600.5
3740859,"       (2016 BS13)",,,0.3488,1.931,1.257,8.89,342.08,80.08,117.24,,0.3673,2460600.5
3740861,"       (2016 BT13)",,1.008,0.4851,2.157,1.110,40.87,294.11,282.71,243.95,0.033,0.3112,2460600.5
3740860,"       (2016 BU13)",,,0.5457,2.151,0.977,17.89,223.66,314.24,257.89,,0.3123,2460600.5
3740897,"       (2016 BC14)",,0.196,0.1826,0.8707,0.712,8.37,4.03,337.09,54.05,0.201,1.213,2460600.5
3740914,"       (2016 BN14)",,,0.7553,2.375,0.581,10.12,127.55,268.92,13.44,,0.2693,2457417.5
3740915,"       (2016 BP14)",,0.285,0.7541,2.889,0.711,1.98,165.07,228.27,290.24,0.072,0.2007,2460600.5
3740926,"       (2016 BV14)",,,0.7145,2.355,0.672,7.70,137.51,261.88,166.87,,0.2727,2460600.5
3740929,"       (2016 BW14)",,,0.1928,0.8913,0.719,7.58,127.57,156.54,343.49,,1.171,2460600.5
3740930,"       (2016 BX14)",,0.199,0.5200,2.058,0.988,4.44,102.29,108.14,313.67,0.195,0.3339,2460600.5
3740927,"       (2016 BY14)",,,0.9068,2.718,0.253,13.14,123.42,235.65,10.25,,0.22,2457417.5
3740928,"       (2016 BZ14)",,1.214,0.6655,2.86,0.957,31.16,137.26,32.41,281.11,0.052,0.2037,2460600.5
3740931,"       (2016 BA15)",,,0.5507,1.543,0.693,1.44,115.11,96.91,170.52,,0.5143,2460600.5
3740932,"       (2016 BB15)",,,0.5453,2.16,0.982,1.24,348.67,98.77,11.55,,0.3105,2457419.5
3740933,"       (2016 BC15)",,,0.3969,1.733,1.045,12.55,311.32,202.48,350.62,,0.432,2457419.5
3740934,"       (2016 BD15)",,,0.3111,1.467,1.010,35.54,303.24,203.35,308.99,,0.5549,2460600.5
3740939,"       (2016 BG15)",,,0.1463,1.203,1.027,15.60,127.04,359.91,218.09,,0.7468,2460600.5
3740938,"       (2016 BH15)",,,0.3091,1.539,1.063,12.21,125.03,13.92,355.42,,0.5164,2457418.5
3740940,"       (2016 BJ15)",,0.080,0.5193,1.808,0.869,2.99,106.32,330.14,225.88,0.113,0.4053,2460600.5
3740953,"       (2016 BP15)",,,0.3547,1.96,1.265,11.32,152.48,315.16,63.81,,0.3591,2460600.5
3740954,"       (2016 BQ15)",,,0.6976,2.089,0.632,0.93,135.59,87.72,299.52,,0.3265,2460600.5
3740955,"       (2016 BR15)",,,0.5454,1.344,0.611,24.44,312.32,67.85,52.54,,0.6329,2457425.5
3740956,"       (2016 BA39)",,,0.3181,1.597,1.089,23.42,319.30,152.54,125.52,,0.4884,2460600.5
3741114,"       (2016 BD39)",,,0.5399,1.349,0.621,34.45,277.15,324.36,140.47,,0.6291,2460600.5
3741144,"       (2016 BS39)",,,0.4866,1.766,0.907,6.15,126.31,304.62,19.80,,0.42,2457417.5
3741148,"       (2016 BU39)",,,0.1965,1.187,0.954,16.29,128.53,58.26,320.43,,0.7621,2457418.5
3741145,"       (2016 BV39)",,,0.3059,0.9655,0.670,21.79,333.31,36.07,155.90,,1.039,2460600.5
3741146,"       (2016 BW39)",,,0.5344,1.749,0.814,8.83,75.78,335.12,302.99,,0.4261,2460600.5
3741149,"       (2016 BX39)",,,0.5202,2.643,1.268,27.62,319.77,240.06,342.53,,0.2294,2460600.5
3741150,"       (2016 BA40)",,,0.5778,2.041,0.862,64.03,330.65,244.78,329.28,,0.338,2460600.5
3741441,"       (2016 BS67)",,,0.0437,1.059,1.013,6.51,318.76,113.76,49.98,,0.9039,2460600.5
3741556,"       (2016 BR80)",,0.208,0.4525,1.703,0.932,12.07,8.73,160.58,318.05,0.123,0.4436,2460600.5
3741972,"       (2016 BW80)",,,0.3881,1.759,1.077,1.92,99.97,31.91,263.43,,0.4223,2460600.5
3742058,"       (2016 BX80)",,,0.3692,1.281,0.808,5.84,341.82,342.23,161.12,,0.6796,2460600.5
3741151,"       (2016 CE)",,,0.2855,0.8504,0.608,5.77,315.65,316.48,282.66,,1.257,2460600.5
3741152,"       (2016 CG18)",,,0.0922,0.9827,0.892,5.70,316.85,276.92,246.12,,1.012,2460600.5
3741439,"       (2016 CK18)",,,0.3110,1.337,0.921,20.22,134.05,280.84,44.64,,0.6375,2457421.5
3741440,"       (2016 CL18)",,,0.4373,1.372,0.772,0.41,277.47,116.59,200.84,,0.6134,2460600.5
3741442,"       (2016 CA29)",,,0.3263,1.392,0.938,2.47,132.62,43.23,86.12,,0.6001,2460600.5
3741554,"       (2016 CE29)",,,0.7267,1.9,0.519,4.93,85.13,295.53,24.79,,0.3763,2457423.5
3741555,"       (2016 CF29)",,,0.6408,2.137,0.768,5.53,304.86,263.73,344.77,,0.3154,2457424.5
3741557,"       (2016 CG29)",,,0.4058,1.86,1.105,29.13,134.73,308.19,175.17,,0.3884,2460600.5
3741560,"       (2016 CH29)",,,0.6058,1.958,0.772,1.76,301.47,121.83,17.41,,0.3598,2457423.5
3741558,"       (2016 CJ29)",,,0.2502,1.381,1.036,23.52,303.58,217.06,343.75,,0.607,2457424.5
3741559,"       (2016 CK29)",,,0.5040,2.011,0.997,4.50,326.85,147.40,23.52,,0.3457,2460600.5
3741561,"       (2016 CL29)",,,0.3804,1.444,0.895,19.92,134.05,302.45,30.56,,0.5679,2460600.5
3741562,"       (2016 CN29)",,,0.6769,2.192,0.708,5.62,315.52,97.24,16.40,,0.3037,2457425.5
3741563,"       (2016 CO29)",,,0.2438,1.061,0.802,2.86,123.40,114.50,269.30,,0.9016,2460600.5
3741564,"       (2016 CQ29)",,,0.4243,1.732,0.997,17.21,129.95,330.97,306.21,,0.4324,2460600.5
3741565,"       (2016 CR29)",,,0.5258,2.497,1.184,31.91,324.95,158.02,80.19,,0.2497,2460600.5
3741566,"       (2016 CS29)",,,0.5550,1.972,0.878,13.96,173.91,39.50,16.54,,0.3558,2460600.5
3741567,"       (2016 CT29)",,,0.5346,1.921,0.894,9.02,124.79,307.17,18.06,,0.3703,2457422.5
3741568,"       (2016 CU29)",,,0.5106,2.007,0.982,7.34,320.81,202.74,13.80,,0.3466,2460600.5
3741971,"       (2016 CA30)",,,0.2520,1.184,0.886,3.44,137.90,282.53,317.71,,0.7646,2460600.5
3741973,"       (2016 CB30)",,,0.4686,2.046,1.087,2.92,5.29,173.17,335.47,,0.3367,2460600.5
3741975,"       (2016 CC30)",,,0.5810,2.47,1.035,35.36,138.86,2.40,89.01,,0.2539,2460600.5
3741974,"       (2016 CD30)",,,0.4966,1.769,0.891,5.86,131.92,313.91,17.48,,0.4188,2457427.5
3741976,"       (2016 CE30)",,,0.0889,1.361,1.240,8.72,339.66,53.87,269.77,,0.621,2460600.5
3741978,"       (2016 CH30)",,,0.1785,0.933,0.766,0.48,346.23,270.19,133.55,,1.094,2460600.5
3741977,"       (2016 CJ30)",,,0.5244,2.203,1.048,0.44,170.60,345.22,229.87,,0.3015,2460600.5
3742047,"       (2016 CS30)",,,0.2527,1.342,1.003,23.40,325.06,85.82,274.11,,0.6342,2460600.5
3742048,"       (2016 CT30)",,,0.2790,1.763,1.271,29.03,306.13,179.80,247.65,,0.4209,2460600.5
3742049,"       (2016 CU30)",,0.459,0.6399,3.042,1.096,27.89,140.66,43.85,221.97,0.019,0.1857,2460600.5
