"spkid","full_name","name","diameter","e","a","q","i","om","w","ma","albedo","n","epoch"
3408681,"       (2008 GO20)",,,0.4902,1.891,0.964,2.25,119.54,160.57,94.27,,0.3789,2460600.5
3408682,"       (2008 GP20)",,,0.4419,1.959,1.093,32.65,31.40,93.09,38.52,,0.3595,2460600.5
3408697,"       (2008 GU20)",,,0.4119,1.925,1.132,5.62,203.44,349.97,69.84,,0.3691,2460600.5
3409112,"       (2008 GV20)",,,0.6216,2.01,0.761,18.15,146.85,182.42,230.26,,0.3458,2460600.5
3408698,"       (2008 GW20)",,,0.6148,2.374,0.914,1.77,43.19,120.63,186.46,,0.2694,2460600.5
3408699,"       (2008 GB21)",,,0.4140,1.46,0.855,1.50,192.38,305.57,30.95,,0.5588,2454574.5
3409124,"       (2008 GX21)",,,0.4156,1.907,1.115,9.53,26.94,166.92,97.69,,0.3741,2460600.5
3409431,"       (2008 GA110)",,,0.5727,2.863,1.223,2.93,163.59,73.12,145.49,,0.2034,2460600.5
3409433,"       (2008 GC110)",,,0.1541,1.091,0.923,13.98,206.43,142.71,44.78,,0.8652,2460600.5
3409434,"       (2008 GD110)",,,0.2542,1.022,0.763,5.35,213.00,101.13,267.92,,0.9534,2460600.5
3409435,"       (2008 GE110)",,,0.3947,2.068,1.252,3.89,53.57,153.51,196.72,,0.3315,2460600.5
3409438,"       (2008 GJ110)",,,0.8218,1.559,0.278,13.55,38.34,29.30,199.18,,0.5062,2460600.5
3409652,"       (2008 GE128)",,,0.4639,1.824,0.978,1.72,182.72,347.27,12.46,,0.4,2454571.5
3409623,"       (2008 HG)",,,0.5090,2.107,1.035,5.94,43.25,197.54,353.53,,0.3222,2454584.5
3409624,"       (2008 HH)",,,0.3554,1.366,0.880,16.32,196.65,116.03,62.39,,0.6174,2460600.5
3409625,"       (2008 HJ)",,,0.4072,1.632,0.967,0.92,47.45,204.22,310.19,,0.4728,2460600.5
3409626,"       (2008 HK)",,,0.5548,2.4,1.069,17.46,34.26,191.98,357.26,,0.265,2454584.5
3409643,"       (2008 HX1)",,,0.5860,2.211,0.916,6.83,212.78,47.60,348.75,,0.2997,2454583.5
3409644,"       (2008 HY1)",,,0.4302,1.619,0.922,24.45,33.92,108.23,30.88,,0.4786,2454583.5
3409645,"       (2008 HZ1)",,,0.6741,1.946,0.634,31.61,31.51,311.19,334.36,,0.3631,2460600.5
3409646,"       (2008 HA2)",,,0.4011,1.755,1.051,1.35,215.23,314.87,47.23,,0.4239,2460600.5
3409647,"       (2008 HB2)",,,0.3779,1.675,1.042,0.69,41.99,167.89,3.57,,0.4545,2454586.5
3409648,"       (2008 HC2)",,,0.5222,1.244,0.594,45.51,211.78,143.03,227.00,,0.7107,2460600.5
3409649,"       (2008 HD2)",,,0.4457,1.466,0.812,2.98,40.61,255.52,327.64,,0.5555,2454586.5
3409650,"       (2008 HE2)",,,0.4568,2.029,1.102,9.45,38.76,187.54,251.53,,0.3411,2460600.5
3409651,"       (2008 HF2)",,,0.7458,1.697,0.431,14.59,208.71,153.88,118.04,,0.4458,2460600.5
3409667,"       (2008 HE3)",,,0.7195,2.603,0.730,31.14,210.12,131.00,293.96,,0.2346,2460600.5
3409668,"       (2008 HJ3)",,,0.4744,1.847,0.971,18.26,45.25,134.37,214.70,,0.3928,2460600.5
3409686,"       (2008 HQ3)",,,0.2627,1.356,1.000,1.79,211.85,334.63,19.05,,0.6242,2454586.5
3409687,"       (2008 HR3)",,,0.6592,2.398,0.817,3.95,228.86,60.37,347.51,,0.2654,2454590.5
3409706,"       (2008 HT4)",,,0.2293,1.414,1.090,16.69,36.12,138.41,27.85,,0.5863,2454588.5
3409707,"       (2008 HU4)",,,0.0556,1.072,1.012,1.39,215.26,350.65,241.23,,0.8886,2460600.5
3409961,"       (2008 HB38)",,,0.4927,1.854,0.941,1.02,102.70,209.49,152.63,,0.3904,2460600.5
3409962,"       (2008 HC38)",,,0.4807,1.279,0.664,1.50,213.50,272.08,42.37,,0.681,2454589.5
3410620,"       (2008 HE66)",,,0.1553,1.39,1.174,6.94,203.25,59.62,351.11,,0.6017,2460600.5
3409709,"       (2008 JC)",,,0.4632,1.045,0.561,2.50,47.86,58.17,205.23,,0.9222,2460600.5
3409963,"       (2008 JE)",,,0.0931,0.9838,0.892,6.96,39.13,317.02,186.11,,1.01,2460600.5
3409965,"       (2008 JJ)",,,0.3787,1.742,1.083,44.56,71.98,219.98,24.92,,0.4285,2460600.5
3409988,"       (2008 JN)",,,0.8034,1.077,0.212,32.04,216.45,158.79,198.52,,0.8817,2460600.5
3409990,"       (2008 JP)",,,0.6484,1.547,0.544,18.39,31.08,307.33,151.75,,0.5125,2460600.5
3409991,"       (2008 JQ)",,,0.1077,1.016,0.907,13.70,220.66,259.75,112.67,,0.9621,2460600.5
3410170,"       (2008 JU2)",,,0.5245,2.247,1.069,10.72,65.52,175.89,310.39,,0.2926,2460600.5
3410171,"       (2008 JV2)",,,0.5215,2.087,0.999,3.19,48.31,138.68,176.44,,0.3269,2460600.5
3410172,"       (2008 JW2)",,,0.6395,2.431,0.877,8.90,35.36,142.45,126.02,,0.26,2460600.5
3410213,"       (2008 JL3)",,,0.5469,2.154,0.976,0.89,40.38,155.61,76.72,,0.3118,2460600.5
3410214,"       (2008 JZ7)",,,0.6464,2.663,0.942,24.16,218.54,70.07,265.99,,0.2268,2460600.5
3410341,"       (2008 JO14)",,,0.7939,2.007,0.414,4.97,116.97,349.73,304.84,,0.3466,2460600.5
3410385,"       (2008 JR14)",,,0.3750,1.646,1.029,7.87,231.20,333.43,292.57,,0.4667,2460600.5
3410387,"       (2008 JT19)",,,0.4172,2.016,1.175,14.11,198.74,304.42,307.53,,0.3444,2460600.5
3410459,"       (2008 JW19)",,,0.6287,1.679,0.623,17.36,56.43,289.61,160.05,,0.4531,2460600.5
3410474,"       (2008 JM20)",,,0.5922,1.022,0.417,22.48,64.92,27.74,35.93,,0.9538,2460600.5
3410533,"       (2008 JL24)",,,0.1066,1.038,0.928,0.55,225.64,282.21,263.51,,0.9317,2460600.5
3410534,"       (2008 JP24)",,,0.2777,1.249,0.902,1.14,40.98,125.48,317.92,,0.7059,2460600.5
3410576,"       (2008 JM26)",,,0.3083,1.367,0.946,5.17,231.69,301.69,32.74,,0.6165,2454600.5
3410588,"       (2008 JS26)",,,0.5116,2.155,1.052,7.20,73.46,200.78,57.11,,0.3117,2460600.5
3410589,"       (2008 JY30)",,,0.7581,2.374,0.574,10.89,3.82,345.13,160.56,,0.2695,2460600.5
3410622,"       (2008 JD33)",,,0.3537,1.556,1.006,3.00,67.75,136.72,13.55,,0.5078,2454601.5
3413890,"       (2008 JT35)",,,0.5839,2.579,1.073,3.88,112.43,158.37,340.74,,0.238,2460600.5
3412706,"       (2008 KO)",,,0.7379,2.157,0.565,14.71,73.33,269.84,344.42,,0.3112,2454615.5
3412747,"       (2008 KQ)",,,0.3175,1.527,1.042,12.49,87.88,262.70,177.73,,0.5221,2460600.5
3412748,"       (2008 KS)",,,0.1566,0.975,0.822,25.60,246.11,152.76,218.32,,1.024,2454615.5
3412749,"       (2008 KT)",,,0.0849,1.011,0.925,1.98,240.57,102.20,313.32,,0.9695,2460600.5
3412755,"       (2008 KV2)",,,0.4121,0.8502,0.500,5.04,66.77,347.86,179.38,,1.257,2460600.5
3412756,"       (2008 KW2)",,,0.6934,1.445,0.443,37.44,247.95,128.82,111.72,,0.5676,2460600.5
3412757,"       (2008 KX2)",,,0.5522,2.396,1.073,5.03,74.54,176.60,0.25,,0.2658,2454620.5
3412890,"       (2008 KA6)",,,0.3386,1.191,0.788,5.98,234.11,117.19,147.41,,0.7581,2460600.5
3412891,"       (2008 KB6)",,,0.4459,1.665,0.922,22.06,69.66,245.78,332.93,,0.4589,2454617.5
3412892,"       (2008 KC6)",,,0.4393,1.354,0.759,11.81,72.19,265.67,318.80,,0.6257,2454616.5
3412894,"       (2008 KE6)",,,0.5210,1.69,0.810,3.43,113.71,224.29,137.59,,0.4486,2460600.5
3412895,"       (2008 KF6)",,,0.5556,2.339,1.040,5.79,64.10,159.71,5.56,,0.2755,2454615.5
3412932,"       (2008 KN11)",,,0.5289,1.709,0.805,5.27,89.33,246.11,89.60,,0.4413,2460600.5
3412933,"       (2008 KB12)",,,0.5754,2.81,1.193,27.20,72.48,165.15,187.44,,0.2092,2460600.5
3413073,"       (2008 LA)",,,0.5755,2.225,0.945,1.68,161.87,144.18,318.69,,0.2969,2460600.5
3413074,"       (2008 LB)",,,0.6144,2.493,0.961,4.32,80.11,211.48,352.27,,0.2504,2454621.5
3413075,"       (2008 LC)",,,0.5267,2.129,1.008,8.61,81.95,207.97,350.53,,0.3173,2454624.5
3413076,"       (2008 LD)",,,0.1513,0.895,0.760,6.58,250.48,202.70,309.11,,1.164,2460600.5
3413111,"       (2008 LE)",,,0.2686,1.449,1.060,1.94,201.19,32.81,9.88,,0.5649,2454619.5
3413164,"       (2008 LC2)",,,0.4993,1.012,0.507,23.65,78.92,303.73,284.44,,0.9679,2454620.5
3413165,"       (2008 LG2)",,,0.2296,0.8509,0.656,3.06,86.14,337.06,109.53,,1.256,2460600.5
3413261,"       (2008 LH2)",,,0.2759,0.9793,0.709,5.77,249.27,249.20,47.51,,1.017,2460600.5
3414248,"       (2008 LN16)",,,0.4224,2.141,1.237,7.81,36.26,260.65,68.69,,0.3147,2460600.5
3414249,"       (2008 LQ16)",,,0.7366,1.707,0.450,7.25,141.97,17.93,140.50,,0.4418,2460600.5
3414251,"       (2008 LW16)",,,0.1035,1.066,0.956,29.69,97.97,347.93,133.19,,0.8953,2460600.5
3414390,"       (2008 MZ)",,,0.6075,2.617,1.027,7.73,69.10,292.06,287.14,,0.2328,2460600.5
3414391,"       (2008 MG1)",,,0.8228,0.7829,0.139,5.72,352.14,109.18,15.87,,1.423,2460600.5
3414394,"       (2008 MP1)",,,0.5650,1.89,0.822,3.78,105.51,243.36,339.97,,0.3792,2454650.5
3414400,"       (2008 MQ1)",,,0.2568,1.392,1.035,2.32,108.69,162.35,337.02,,0.6001,2460600.5
3414401,"       (2008 MR1)",,,0.4631,2.274,1.221,5.61,312.81,32.43,256.57,,0.2873,2460600.5
3414402,"       (2008 MU1)",,,0.4366,1.896,1.068,40.75,296.27,56.60,59.80,,0.3775,2460600.5
3414403,"       (2008 MV1)",,,0.6490,2.256,0.792,1.99,12.61,199.37,15.07,,0.2909,2454651.5
3414424,"       (2008 NA)",,,0.3033,0.9642,0.672,9.98,104.76,52.44,180.82,,1.041,2460600.5
3414425,"       (2008 NB)",,,0.5547,2.457,1.094,20.48,283.05,75.92,66.96,,0.2559,2460600.5
3414431,"       (2008 NX)",,,0.2074,1.32,1.047,0.60,258.01,26.32,265.18,,0.6496,2460600.5
3418109,"       (2008 NO3)",,,0.6715,2.822,0.927,10.29,33.82,210.27,177.71,,0.2079,2460600.5
3418111,"       (2008 NQ3)",,,0.5817,2.451,1.025,27.17,109.39,155.30,9.77,,0.2569,2454669.5
3419889,"       (2008 OM)",,,0.5324,2.468,1.154,7.45,299.07,1.87,66.14,,0.2542,2460600.5
3419890,"       (2008 ON)",,,0.2077,1.461,1.157,30.44,320.73,5.60,53.02,,0.5582,2460600.5
3419891,"       (2008 OO)",,,0.7021,2.104,0.627,5.48,305.90,253.74,136.05,,0.323,2460600.5
3421512,"       (2008 OO1)",,,0.6131,2.437,0.943,9.34,304.04,314.55,110.13,,0.2591,2460600.5
3421944,"       (2008 OV2)",,,0.5710,2.387,1.024,15.31,286.15,307.92,169.75,,0.2672,2460600.5
3421946,"       (2008 OY2)",,,0.6181,2.648,1.011,1.11,129.67,153.54,281.05,,0.2288,2460600.5
3422138,"       (2008 OA6)",,,0.5027,2.141,1.065,9.08,133.86,140.96,74.53,,0.3147,2460600.5
3422140,"       (2008 OS7)",,,0.6467,1.91,0.675,7.04,136.81,73.37,79.28,,0.3734,2460600.5
3422141,"       (2008 OT7)",,,0.3143,1.136,0.779,1.78,124.64,93.26,198.02,,0.8144,2460600.5
3422247,"       (2008 OM8)",,,0.4476,2.1,1.160,8.43,129.60,206.51,108.13,,0.3238,2460600.5
3422248,"       (2008 ON8)",,,0.3545,1.648,1.064,5.16,130.84,183.66,359.28,,0.4659,2454681.5
3422249,"       (2008 OO8)",,,0.5074,2.052,1.011,6.36,302.06,344.66,7.52,,0.3353,2454681.5
3422250,"       (2008 OP8)",,,0.6788,2.204,0.708,5.22,186.09,37.62,0.29,,0.3013,2460600.5
3422252,"       (2008 OQ8)",,,0.4651,2.303,1.232,1.60,134.51,189.21,226.40,,0.282,2460600.5
3422251,"       (2008 OX8)",,,0.2510,1.603,1.201,8.16,322.12,0.27,346.03,,0.4855,2460600.5
3422254,"       (2008 OC9)",,,0.2501,1.153,0.865,29.31,310.62,266.72,94.60,,0.7958,2460600.5
3422536,"       (2008 ON10)",,,0.1616,1.164,0.976,7.09,130.86,243.03,287.33,,0.7849,2460600.5
3423022,"       (2008 ON13)",,,0.8118,2.224,0.419,5.66,141.38,49.45,354.07,,0.2971,2460600.5
3423023,"       (2008 PE1)",,,0.5070,2.168,1.069,4.45,300.73,7.32,28.91,,0.3088,2460600.5
3423024,"       (2008 PF1)",,,0.4946,1.36,0.687,2.76,129.56,284.23,35.64,,0.6216,2460600.5
3423026,"       (2008 PF2)",,,0.5771,2.455,1.038,6.49,133.09,171.81,76.13,,0.2563,2460600.5
3423027,"       (2008 PG2)",,,0.0421,1.139,1.091,8.96,325.02,67.59,44.08,,0.8113,2460600.5
3423199,"       (2008 PH3)",,,0.4603,2.128,1.149,5.98,89.75,238.65,75.04,,0.3175,2460600.5
3423202,"       (2008 PJ3)",,,0.7599,1.775,0.426,11.36,89.61,347.99,334.33,,0.4168,2454686.5
3423200,"       (2008 PK3)",,,0.5978,1.888,0.759,17.10,122.39,109.48,109.15,,0.3799,2460600.5
3423201,"       (2008 PL3)",,,0.4434,2.279,1.269,5.46,355.05,353.04,243.30,,0.2864,2460600.5
3423321,"       (2008 PW4)",,,0.2730,1.162,0.845,2.68,116.75,295.41,271.87,,0.7864,2460600.5
3423604,"       (2008 PG7)",,,0.3689,1.532,0.967,39.78,137.90,253.47,322.06,,0.5199,2454686.5
3423762,"       (2008 PJ9)",,,0.6610,2.549,0.864,4.77,115.30,135.06,6.09,,0.2422,2460600.5
3423763,"       (2008 PK9)",,,0.7245,1.637,0.451,27.39,318.49,108.02,335.66,,0.4705,2454687.5
3423827,"       (2008 PR9)",,,0.5118,0.9437,0.461,3.30,18.73,75.59,154.82,,1.075,2460600.5
3424289,"       (2008 PV16)",,,0.5918,1.869,0.763,33.94,146.25,260.16,337.09,,0.3858,2454693.5
3425295,"       (2008 QB)",,,0.7389,1.206,0.315,35.76,146.90,314.25,27.66,,0.7441,2460600.5
3425298,"       (2008 QC)",,,0.5200,2.273,1.091,11.12,16.88,301.52,260.38,,0.2877,2460600.5
3425605,"       (2008 QZ)",,,0.4229,2.17,1.252,6.83,160.62,194.42,13.07,,0.3084,2460600.5
3425606,"       (2008 QA1)",,,0.5139,2.219,1.079,26.44,336.74,28.22,352.01,,0.2981,2454707.5
3425607,"       (2008 QC1)",,,0.6069,2.661,1.046,3.68,136.61,179.47,261.58,,0.227,2460600.5
3425609,"       (2008 QM2)",,,0.3130,1.544,1.061,23.74,332.69,8.94,357.28,,0.5137,2454706.5
3426239,"       (2008 QU3)",,,0.2478,0.8686,0.653,14.07,303.54,241.38,103.19,,1.217,2460600.5
3426408,"       (2008 QS11)",,0.453,0.4828,1.861,0.962,12.49,11.50,30.74,104.66,0.094,0.3883,2460600.5
3426412,"       (2008 QT11)",,,0.3789,1.375,0.854,6.81,128.40,134.33,36.09,,0.611,2460600.5
3426409,"       (2008 QU11)",,,0.4958,1.783,0.899,7.99,156.83,122.75,18.68,,0.4138,2454707.5
3426410,"       (2008 QV11)",,,0.4528,0.9079,0.497,8.28,114.32,7.42,118.52,,1.139,2460600.5
3426411,"       (2008 QW11)",,,0.5418,2.318,1.062,2.73,101.71,240.38,205.22,,0.2792,2460600.5
3426634,"       (2008 RT)",,,0.5652,2.488,1.082,21.23,17.46,13.45,30.73,,0.2512,2460600.5
3426635,"       (2008 RU)",,,0.6462,2.107,0.745,7.20,139.78,274.95,82.43,,0.3222,2460600.5
3426636,"       (2008 RV)",,,0.5637,2.269,0.990,2.28,119.91,192.35,263.67,,0.2884,2460600.5
3426637,"       (2008 RW)",,,0.5332,1.986,0.927,4.38,135.62,256.12,257.90,,0.3521,2460600.5
3426655,"       (2008 RE1)",,,0.5231,2.266,1.081,5.81,5.08,352.99,257.36,,0.2889,2460600.5
3426791,"       (2008 RH1)",,,0.1617,1.063,0.891,7.46,350.74,147.51,108.27,,0.8987,2460600.5
3426672,"       (2008 RK1)",,,0.5783,2.774,1.170,6.65,350.28,349.25,167.13,,0.2133,2460600.5
3426807,"       (2008 RQ24)",,,0.4275,2.173,1.244,6.04,200.99,144.83,12.34,,0.3077,2460600.5
3426808,"       (2008 RR24)",,,0.4525,1.282,0.702,32.51,340.50,103.21,346.76,,0.6792,2460600.5
3426809,"       (2008 RS24)",,,0.6163,2.104,0.807,17.22,160.18,264.25,338.46,,0.323,2454716.5
3426810,"       (2008 RT24)",,,0.4185,1.816,1.056,6.93,162.01,212.67,348.49,,0.4027,2454717.5
3426811,"       (2008 RW24)",,,0.5002,1.75,0.875,2.15,14.75,38.96,320.69,,0.4257,2460600.5
3426812,"       (2008 RX24)",,,0.4387,2.288,1.284,2.02,7.33,340.26,236.43,,0.2848,2460600.5
3426814,"       (2008 RZ24)",,,0.5635,2.177,0.950,13.97,165.40,122.62,25.52,,0.3069,2460600.5
3427046,"       (2008 RS26)",,,0.5935,3.008,1.223,19.72,100.11,300.22,10.75,,0.1889,2460600.5
3427741,"       (2008 RM98)",,,0.6441,2.551,0.908,1.90,284.68,166.99,304.12,,0.2419,2460600.5
3432142,"       (2008 RP108)",,,0.4151,2.125,1.243,5.70,180.43,148.73,80.51,,0.3181,2460600.5
3427440,"       (2008 SA)",,,0.3330,1.326,0.885,2.64,353.98,64.55,156.70,,0.6452,2460600.5
3427441,"       (2008 SC)",,,0.7020,1.092,0.325,16.87,6.70,122.71,341.39,,0.8637,2460600.5
3427442,"       (2008 SD)",,,0.7395,2.038,0.531,17.14,26.70,220.47,211.11,,0.3387,2460600.5
3427443,"       (2008 SE)",,,0.4833,2.362,1.221,8.63,216.14,156.39,151.06,,0.2715,2460600.5
3427456,"       (2008 SP)",,,0.3504,1.691,1.098,16.53,187.20,129.96,128.84,,0.4482,2460600.5
3427457,"       (2008 SQ)",,,0.3547,1.64,1.058,12.71,4.89,319.81,252.66,,0.4692,2460600.5
3427458,"       (2008 SR)",,,0.4036,2.002,1.194,4.48,256.44,138.69,232.05,,0.3478,2460600.5
3427459,"       (2008 SS)",,,0.4792,0.9284,0.484,21.14,5.02,135.04,248.72,,1.102,2460600.5
3427460,"       (2008 ST)",,,0.1257,0.9641,0.843,1.91,189.45,291.26,242.55,,1.041,2460600.5
3427519,"       (2008 SN1)",,,0.5139,2.66,1.293,6.05,279.00,84.69,254.37,,0.2272,2460600.5
3427520,"       (2008 SO1)",,,0.5998,2.884,1.154,12.41,198.97,245.18,91.03,,0.2013,2460600.5
3427522,"       (2008 SR1)",,,0.6508,2.371,0.828,16.89,177.91,116.87,153.25,,0.27,2460600.5
3427523,"       (2008 ST1)",,,0.3012,1.381,0.965,8.58,179.06,144.37,20.24,,0.6071,2454733.5
3427524,"       (2008 SU1)",,,0.7570,2.145,0.521,8.93,287.55,195.34,11.24,,0.3137,2460600.5
3427525,"       (2008 SW1)",,,0.5342,2.481,1.156,16.29,189.35,185.35,38.09,,0.2521,2460600.5
3427526,"       (2008 SZ1)",,,0.5250,2.184,1.037,4.63,183.22,173.22,353.58,,0.3055,2460600.5
3427734,"       (2008 SP7)",,,0.5327,2.741,1.281,9.96,34.83,338.81,193.64,,0.2172,2460600.5
3427737,"       (2008 ST7)",,,0.5131,1.936,0.942,2.45,347.80,321.80,4.35,,0.366,2460600.5
3427738,"       (2008 SV7)",,,0.3313,1.626,1.087,4.42,230.96,165.68,256.53,,0.4755,2460600.5
3427739,"       (2008 SW7)",,,0.3519,1.616,1.047,17.51,178.70,186.74,357.67,,0.4799,2454733.5
3427740,"       (2008 SF8)",,,0.6049,2.769,1.094,5.96,356.95,0.55,169.35,,0.2139,2460600.5
3427794,"       (2008 SV11)",,,0.7263,2.608,0.714,8.34,14.79,103.80,252.62,,0.234,2460600.5
3427985,"       (2008 SH82)",,,0.5957,2.435,0.985,4.63,268.58,158.16,57.68,,0.2594,2460600.5
3427986,"       (2008 SJ82)",,,0.5776,2.379,1.005,9.69,135.14,218.39,139.19,,0.2687,2460600.5
3428254,"       (2008 SC85)",,,0.5266,2.415,1.143,6.31,256.08,168.14,72.85,,0.2627,2460600.5
3428255,"       (2008 SD85)",,,0.4073,0.8828,0.523,23.37,2.50,209.15,248.39,,1.188,2460600.5
3428257,"       (2008 SG148)",,,0.2019,1.346,1.074,27.20,7.47,16.01,351.65,,0.6315,2454740.5
3428258,"       (2008 SH148)",,,0.6509,2.714,0.948,3.62,202.30,200.66,353.61,,0.2204,2454738.5
3428259,"       (2008 SJ148)",,,0.3845,1.209,0.744,2.63,202.67,72.87,53.21,,0.7411,2454742.5
3428343,"       (2008 SX148)",,,0.2997,1.118,0.783,14.47,354.61,252.40,290.57,,0.8335,2460600.5
3428344,"       (2008 SY148)",,,0.1932,1.25,1.008,28.76,187.29,164.32,13.42,,0.7052,2454741.5
3428528,"       (2008 SU150)",,,0.3943,1.982,1.201,2.48,262.75,93.67,5.08,,0.3531,2454749.5
3428529,"       (2008 SV150)",,,0.0896,1.154,1.051,22.49,4.01,344.92,15.08,,0.7947,2454739.5
3428531,"       (2008 SY150)",,,0.3286,1.385,0.930,6.97,192.89,120.83,331.47,,0.6047,2460600.5
3428532,"       (2008 SZ150)",,,0.3303,1.409,0.943,13.07,188.52,128.94,243.02,,0.5895,2460600.5
3428533,"       (2008 TA)",,,0.6480,1.38,0.486,1.52,354.38,259.37,355.17,,0.608,2460600.5
3428534,"       (2008 TB)",,,0.6039,2.474,0.980,27.40,188.08,209.10,353.88,,0.2533,2454740.5
3428697,"       (2008 TC)",,,0.4991,2.057,1.030,2.67,211.23,106.38,14.87,,0.3342,2454741.5
3428698,"       (2008 TD)",,,0.3385,0.8963,0.593,5.08,357.62,144.59,225.97,,1.162,2460600.5
3428699,"       (2008 TE)",,,0.4514,1.516,0.831,0.31,1.16,297.36,28.55,,0.5282,2454742.5
3428700,"       (2008 TF)",,,0.5181,0.9567,0.461,21.04,10.12,139.42,316.86,,1.053,2460600.5
3428701,"       (2008 TG)",,,0.5347,2.538,1.181,1.69,243.86,99.37,8.60,,0.2437,2454748.5
3428702,"       (2008 TH)",,,0.5613,1.349,0.592,9.32,7.29,112.11,316.94,,0.6293,2454742.5
3428703,"       (2008 TJ)",,,0.3172,1.559,1.065,3.49,7.38,340.50,10.62,,0.5062,2454741.5
3428705,"       (2008 TK)",,,0.5177,2.128,1.026,15.44,12.67,351.17,2.41,,0.3175,2454742.5
3428704,"       (2008 TL)",,,0.4804,1.75,0.909,8.89,7.77,312.70,16.33,,0.4257,2454741.5
3429684,"       (2008 TZ)",,,0.3967,0.9528,0.575,1.50,9.67,127.54,3.40,,1.06,2460600.5
3429686,"       (2008 TB1)",,,0.5843,2.648,1.101,22.84,183.83,120.50,14.39,,0.2288,2454742.5
3429687,"       (2008 TC1)",,,0.5545,2.122,0.945,7.84,187.15,120.68,16.76,,0.3189,2454743.5
3429688,"       (2008 TD1)",,,0.4919,2.194,1.115,1.90,5.89,15.59,358.21,,0.3032,2454749.5
3429689,"       (2008 TE1)",,,0.4726,1.944,1.025,15.04,9.23,2.97,359.54,,0.3637,2454742.5
3429817,"       (2008 TB2)",,,0.4900,2.069,1.055,3.91,10.13,9.41,357.89,,0.3311,2454744.5
3429818,"       (2008 TC2)",,,0.3107,1.066,0.735,5.76,196.44,71.93,279.48,,0.896,2460600.5
3429819,"       (2008 TD2)",,,0.3343,1.53,1.019,4.02,15.99,315.98,194.38,,0.5207,2460600.5
3429820,"       (2008 TE2)",,,0.3257,1.497,1.009,3.18,10.64,2.97,359.18,,0.5382,2454743.5
3429821,"       (2008 TF2)",,,0.3587,0.9902,0.635,15.98,196.66,295.18,279.91,,1,2454744.5
3429847,"       (2008 TR2)",,,0.2730,1.708,1.242,33.86,28.12,354.57,65.80,,0.4416,2460600.5
3430291,"       (2008 TC3)",,,0.3121,1.308,0.900,2.54,194.10,234.45,330.75,,0.6587,2454746.5
3430304,"       (2008 TX3)",,,0.1865,1.179,0.959,2.38,193.25,249.89,135.12,,0.7696,2460600.5
3430307,"       (2008 TA4)",,,0.1229,1.088,0.954,15.48,16.54,61.84,355.00,,0.8691,2460600.5
3430308,"       (2008 TB4)",,,0.4468,1.821,1.008,41.88,194.41,138.32,14.21,,0.4009,2454749.5
3430311,"       (2008 TE4)",,,0.3675,1.465,0.927,6.32,355.56,325.01,31.70,,0.5558,2460600.5
3430382,"       (2008 TF9)",,,0.5362,2.552,1.183,41.11,5.86,324.62,344.53,,0.2418,2460600.5
3430384,"       (2008 TN9)",,,0.3038,1.2,0.835,1.63,7.52,290.14,46.29,,0.7501,2454748.5
3430385,"       (2008 TX9)",,,0.5103,1.913,0.937,7.65,199.91,223.36,345.89,,0.3726,2454748.5
3430386,"       (2008 TY9)",,,0.2790,1.432,1.032,8.30,205.05,158.92,131.90,,0.5754,2460600.5
3430403,"       (2008 TM10)",,,0.6526,2.281,0.792,22.36,202.92,229.12,224.48,,0.2862,2460600.5
3430404,"       (2008 TP10)",,,0.6037,2.152,0.853,3.65,230.04,59.92,26.24,,0.3123,2454749.5
3430405,"       (2008 TQ10)",,,0.4620,2.223,1.196,24.71,9.97,296.86,328.84,,0.2973,2460600.5
3430406,"       (2008 TR10)",,,0.4681,2.12,1.128,5.40,256.38,35.80,105.84,,0.3192,2460600.5
3430407,"       (2008 TS10)",,,0.2026,1.258,1.003,1.47,5.64,345.37,17.91,,0.6982,2454750.5
3430408,"       (2008 TV25)",,,0.5123,1.885,0.920,9.06,163.84,297.28,41.69,,0.3807,2460600.5
3430489,"       (2008 TL26)",,,0.5764,2.638,1.118,17.88,198.51,171.50,1.32,,0.23,2454749.5
3430490,"       (2008 TM26)",,,0.4524,1.676,0.918,3.69,336.53,343.67,159.84,,0.4541,2460600.5
3430492,"       (2008 TP26)",,,0.2873,1.094,0.780,13.34,12.25,241.78,92.27,,0.861,2460600.5
3430493,"       (2008 TQ26)",,,0.4922,1.791,0.909,4.16,238.33,61.36,275.06,,0.4113,2460600.5
3430497,"       (2008 TS26)",,,0.5691,1.922,0.828,0.82,16.43,301.63,14.88,,0.3698,2454748.5
3430494,"       (2008 TT26)",,,0.2574,1.346,0.999,8.48,210.48,190.14,81.30,,0.6315,2460600.5
3431598,"       (2008 TB27)",,,0.3607,1.773,1.133,38.04,265.01,169.52,282.10,,0.4176,2460600.5
3431599,"       (2008 TD27)",,,0.6437,2.199,0.783,10.93,286.48,199.21,291.93,,0.3023,2460600.5
3432561,"       (2008 TE157)",,,0.6126,2.762,1.070,1.91,13.19,91.67,162.46,,0.2147,2460600.5
3432568,"       (2008 TJ157)",,,0.5529,2.749,1.229,12.54,201.90,136.04,189.77,,0.2162,2460600.5
3432569,"       (2008 TK157)",,,0.5178,2.39,1.152,4.55,220.31,217.62,101.49,,0.2668,2460600.5
54298757,"       (2008 TO237)",,,0.4301,2.217,1.264,6.68,338.95,338.84,332.17,,0.2985,2460600.5
3432562,"       (2008 UB)",,,0.1588,1.5,1.262,35.91,26.08,342.54,266.39,,0.5364,2460600.5
